"Color Name";"Color Number";"Hex";"RGB"
"Boxwood";"DEC778";"#707B71";"rgb(112, 123, 113)"
"Woodlawn Green";"DEC779";"#405B50";"rgb(64, 91, 80)"
"Tickled Crow";"DEC780";"#B6BAA4";"rgb(182, 186, 164)"
"Sycamore Stand";"DEC781";"#959E8F";"rgb(149, 158, 143)"
"Belize Green";"DEC782";"#B9C3B3";"rgb(185, 195, 179)"
"Opaline";"DEC783";"#C1D1C4";"rgb(193, 209, 196)"
"Green Mirror";"DEC784";"#D7E2D5";"rgb(215, 226, 213)"
"Whisper Gray";"DEC785";"#E9E5DA";"rgb(233, 229, 218)"
"Miner's Dust";"DEC786";"#D3CEC5";"rgb(211, 206, 197)"
"Mythical Blue";"DEC787";"#93A8A7";"rgb(147, 168, 167)"
"Dark Lagoon";"DEC788";"#6A7F7D";"rgb(106, 127, 125)"
"Light Gray";"DEC789";"#979D9A";"rgb(151, 157, 154)"
"Ice Gray";"DEC790";"#CAC7C4";"rgb(202, 199, 196)"
"Cloud";"DEC791";"#D8D7D3";"rgb(216, 215, 211)"
"Cape Cod Blue";"DEC792";"#91A2A6";"rgb(145, 162, 166)"
"Chalky";"DEC793";"#E9E9E1";"rgb(233, 233, 225)"
"Salina Springs";"DEC794";"#CAD2D4";"rgb(202, 210, 212)"
"Gray Pearl";"DEC795";"#C3C0BB";"rgb(195, 192, 187)"
"Irogon Blue";"DEC796";"#9DACB5";"rgb(157, 172, 181)"
"Battleship Gray";"DEC797";"#6F7476";"rgb(111, 116, 118)"
"Taliesin Blue";"DEC798";"#707E84";"rgb(112, 126, 132)"
"Wharf View";"DEC799";"#65737E";"rgb(101, 115, 126)"
"Antique Paper";"DE6218";"#F4F0E8";"rgb(244, 240, 232)"
"Crystal Haze";"DE6219";"#E7E2D6";"rgb(231, 226, 214)"
"Porous Stone";"DE6220";"#D4CEBF";"rgb(212, 206, 191)"
"Flintstone";"DE6221";"#BBB3A2";"rgb(187, 179, 162)"
"Weather Board";"DE6222";"#9F947D";"rgb(159, 148, 125)"
"Mission Trail";"DE6223";"#857A64";"rgb(133, 122, 100)"
"Treasure Chest";"DE6224";"#726854";"rgb(114, 104, 84)"
"Fossil";"DE6225";"#F4F1EB";"rgb(244, 241, 235)"
"Foggy Day";"DE6226";"#E7E3DB";"rgb(231, 227, 219)"
"Muslin";"DE6227";"#D4D0C5";"rgb(212, 208, 197)"
"Play on Gray";"DE6228";"#BAB6A9";"rgb(186, 182, 169)"
"Calico Rock";"DE6229";"#9C9584";"rgb(156, 149, 132)"
"Center Ridge";"DE6230";"#817A69";"rgb(129, 122, 105)"
"Shaker Gray";"DE6231";"#6C6556";"rgb(108, 101, 86)"
"Abstract White";"DE6232";"#EDE9DD";"rgb(237, 233, 221)"
"Limestone";"DE6233";"#DCD8C7";"rgb(220, 216, 199)"
"Serene Thought";"DE6234";"#C5C0AC";"rgb(197, 192, 172)"
"Northgate Green";"DE6235";"#AAA388";"rgb(170, 163, 136)"
"Wilderness";"DE6236";"#8F886C";"rgb(143, 136, 108)"
"Denali Green";"DE6237";"#7D775D";"rgb(125, 119, 93)"
"Spruce Woods";"DE6238";"#6F6A52";"rgb(111, 106, 82)"
"Latte Froth";"DE6239";"#F3F0E8";"rgb(243, 240, 232)"
"Watermist";"DE6240";"#E6E3D8";"rgb(230, 227, 216)"
"Lunar Landing";"DE6241";"#D2CFC1";"rgb(210, 207, 193)"
"Wells Gray";"DE6242";"#B9B5A4";"rgb(185, 181, 164)"
"Union Springs";"DE6243";"#9C9680";"rgb(156, 150, 128)"
"Smoky Forest";"DE6244";"#817D68";"rgb(129, 125, 104)"
"Aged Jade";"DE6245";"#6C6956";"rgb(108, 105, 86)"
"Moonlight";"DE6246";"#F2F1E6";"rgb(242, 241, 230)"
"Garden Pebble";"DE6247";"#E4E4D5";"rgb(228, 228, 213)"
"Spooky";"DE6248";"#D1D2BF";"rgb(209, 210, 191)"
"Trinity Islands";"DE6249";"#B9B79B";"rgb(185, 183, 155)"
