"Color Name";"Color Number";"Hex";"RGB"
"Profit";"profit";"#454228";"rgb(69, 66, 40)"
"Smoked";"smoked";"#433B30";"rgb(67, 59, 48)"
"Wealth";"wealth";"#858379";"rgb(133, 131, 121)"
"Black ";"black-";"#070000";"rgb(7, 0, 0)"
"Blue";"blue";"#150725";"rgb(21, 7, 37)"
"Bordeux";"bordeux";"#8B1C20";"rgb(139, 28, 32)"
"Brown";"brown";"#1D0001";"rgb(29, 0, 1)"
"Graphite";"graphite";"#1C2323";"rgb(28, 35, 35)"
"Orange";"orange";"#FF6418";"rgb(255, 100, 24)"
"Purple";"purple";"#4C294C";"rgb(76, 41, 76)"
"Red";"red";"#D6083B";"rgb(214, 8, 59)"
"Royal Blue";"royal-blue";"#0046AD";"rgb(0, 70, 173)"
"Eclipse Black Felt";"eclipse-black-felt";"#060808";"rgb(6, 8, 8)"
"Birch Fiber";"birch-fiber";"#F6F7F1";"rgb(246, 247, 241)"
"Cottonwood Fiber";"cottonwood-fiber";"#F8F7F1";"rgb(248, 247, 241)"
"Balsa Fiber";"balsa-fiber";"#F9EBB1";"rgb(249, 235, 177)"
"Driftwood Fiber";"driftwood-fiber";"#DCCFA8";"rgb(220, 207, 168)"
"Kraft Fiber";"kraft-fiber";"#AE8D58";"rgb(174, 141, 88)"
"Sunflower Fiber";"sunflower-fiber";"#EDBB26";"rgb(237, 187, 38)"
"Stone Fiber";"stone-fiber";"#4F593B";"rgb(79, 89, 59)"
"Natural Fiber";"natural-fiber";"#FFFCEA";"rgb(255, 252, 234)"
"Cream Fiber";"cream-fiber";"#FAF6B7";"rgb(250, 246, 183)"
"Gray Fiber";"gray-fiber";"#E3F2DC";"rgb(227, 242, 220)"
"Rose Fiber";"rose-fiber";"#F7E4ED";"rgb(247, 228, 237)"
"Ice Blue Fiber";"ice-blue-fiber";"#D7F5E8";"rgb(215, 245, 232)"
"Thyme Fiber";"thyme-fiber";"#E2F2A0";"rgb(226, 242, 160)"
"Periwinkle Fiber";"periwinkle-fiber";"#B3C7ED";"rgb(179, 199, 237)"
"Natural Smooth";"natural-smooth";"#FAF7EB";"rgb(250, 247, 235)"
"Eclipse Black Smooth";"eclipse-black-smooth";"#060808";"rgb(6, 8, 8)"
"Ivory Linen";"ivory-linen";"#F3F4BA";"rgb(243, 244, 186)"
"Emerald Green Linen";"emerald-green-linen";"#0C3E17";"rgb(12, 62, 23)"
"Natural Linen";"natural-linen";"#FAF7EB";"rgb(250, 247, 235)"
"Gray Linen";"gray-linen";"#DDE3D4";"rgb(221, 227, 212)"
"Burgundy Linen";"burgundy-linen";"#5D083F";"rgb(93, 8, 63)"
"Midnight Blue Linen";"midnight-blue-linen";"#072053";"rgb(7, 32, 83)"
"Eclipse Black Linen";"eclipse-black-linen";"#060808";"rgb(6, 8, 8)"
"Natural Laid";"natural-laid";"#FFFBEC";"rgb(255, 251, 236)"
"Ivory Laid";"ivory-laid";"#F8F7DD";"rgb(248, 247, 221)"
"Gray Laid";"gray-laid";"#E6E8DB";"rgb(230, 232, 219)"
"Eclipse Black Laid";"eclipse-black-laid";"#060808";"rgb(6, 8, 8)"
"Blackguard";"mp33759";"#232220";"rgb(35, 34, 32)"
"Blackstone";"mp33348";"#1F1E1C";"rgb(31, 30, 28)"
"Draconia";"mp40821";"#192021";"rgb(25, 32, 33)"
"Ebony King";"mp30914";"#141F1F";"rgb(20, 31, 31)"
"Onyx";"mp31846";"#1B1513";"rgb(27, 21, 19)"
"Twilight Zone";"mp33260";"#161614";"rgb(22, 22, 20)"
"Vine Charcoal";"mp42359";"#1E2223";"rgb(30, 34, 35)"
"Wells Fargo Black";"mp26309";"#081111";"rgb(8, 17, 17)"
"Amethyst Met.";"mp22022";"#624BA0";"rgb(98, 75, 160)"
"Andromeda Blue Met.";"mp22028";"#00354B";"rgb(0, 53, 75)"
"Aquateal met.";"mp21999";"#488386";"rgb(72, 131, 134)"
"Aubertite Blue Met.";"mp27145";"#86B7B3";"rgb(134, 183, 179)"
"Aura Blue Met.";"mp25401";"#004E66";"rgb(0, 78, 102)"
"Bally Blue Met.";"mp41755";"#3B4F8E";"rgb(59, 79, 142)"
"Black N Blue Met.";"mp22005";"#130E29";"rgb(19, 14, 41)"
"Blackberry Met.";"mp22021";"#1C1027";"rgb(28, 16, 39)"
"Blue Abyss Met.";"mp22008";"#131834";"rgb(19, 24, 52)"
"Blue Jade Met.";"mp22004";"#63A6AE";"rgb(99, 166, 174)"
"Breyer Blue Met.";"mp19843";"#00526D";"rgb(0, 82, 109)"
"Brina Blue Met.";"mp22085";"#C7CBD0";"rgb(199, 203, 208)"
"Cabochon Blue Met.";"mp28161";"#003E55";"rgb(0, 62, 85)"
"Carib Blue Met.";"mp25405";"#004157";"rgb(0, 65, 87)"
"Celestine Blue Met.";"mp32683";"#91B7C2";"rgb(145, 183, 194)"
"Cenere Blue Met.";"mp22031";"#4B516C";"rgb(75, 81, 108)"
"Chakra Blue Met.";"mp25373";"#273974";"rgb(39, 57, 116)"
"Champenoise Blue Met.";"mp22088";"#A4B0B1";"rgb(164, 176, 177)"
"China Blue Met.";"mp22029";"#00425A";"rgb(0, 66, 90)"
"Cuda Plum Met.";"mp22023";"#9B8BDB";"rgb(155, 139, 219)"
"Cygnus Blue Met.";"mp22030";"#06283D";"rgb(6, 40, 61)"
"Dark Matter Blue Met.";"mp22027";"#012C3E";"rgb(1, 44, 62)"
"Dark Sea Green Met.";"mp26867";"#538D91";"rgb(83, 141, 145)"
"Deepwater Blue Met.";"mp21997";"#003F52";"rgb(0, 63, 82)"
"Electric Blue Met.";"mp21994";"#005B79";"rgb(0, 91, 121)"
"Emerald Teal Met.";"mp25406";"#004053";"rgb(0, 64, 83)"
"Faerie Blue Met.";"mp18124";"#A0BDD2";"rgb(160, 189, 210)"
"Floe Blue Met.";"mp25362";"#AEACBE";"rgb(174, 172, 190)"
"Gelee Blue Met.";"mp22078";"#A29FAF";"rgb(162, 159, 175)"
"Glacon Blue Met.";"mp22090";"#95ADB1";"rgb(149, 173, 177)"
"Groovy Blue Met.";"mp26171";"#473485";"rgb(71, 52, 133)"
"Humo Blue Met.";"mp27858";"#6C87B9";"rgb(108, 135, 185)"
"Indigo Blue Met.";"mp21992";"#052C49";"rgb(5, 44, 73)"
"Lauderdale Blue Met.";"mp25398";"#308A94";"rgb(48, 138, 148)"
"Lavender Blue Met.";"mp22010";"#7F7D8D";"rgb(127, 125, 141)"
"Legend Blue Met.";"mp22001";"#003B4F";"rgb(0, 59, 79)"
"Marine Blue Met.";"mp21993";"#004661";"rgb(0, 70, 97)"
"Med. Gulf Blue Met.";"mp34865";"#004862";"rgb(0, 72, 98)"
"Midnite Blue Met.";"mp21989";"#0C243E";"rgb(12, 36, 62)"
"Mysteria Blue Met.";"mp23002";"#9992A7";"rgb(153, 146, 167)"
"Newport Blue Met.";"mp21990";"#004F6A";"rgb(0, 79, 106)"
"Pacific Blue Met.";"mp22000";"#5F9497";"rgb(95, 148, 151)"
"Panama Blue Met.";"mp22003";"#125D73";"rgb(18, 93, 115)"
"Passione Blue Met.";"mp26181";"#704A98";"rgb(112, 74, 152)"
"Pastello Blue Met.";"mp22087";"#849697";"rgb(132, 150, 151)"
"Pharaohs Blue Met.";"mp23003";"#A896EB";"rgb(168, 150, 235)"
"Phlox Blue Met.";"mp22026";"#8A7B90";"rgb(138, 123, 144)"
"Regal Blue Met.";"mp22009";"#56699B";"rgb(86, 105, 155)"
"Romanov Blue Met.";"mp17314";"#15183C";"rgb(21, 24, 60)"
"Royal Robe Met.";"mp22024";"#0E193C";"rgb(14, 25, 60)"
"Silver Blue Met.";"mp23839";"#8E96A2";"rgb(142, 150, 162)"
"Sleek Blue Met.";"mp27188";"#66AFAF";"rgb(102, 175, 175)"
"Smooth Teal Met.";"mp23561";"#5D8D85";"rgb(93, 141, 133)"
"Tahiti Blue Met.";"mp21991";"#266986";"rgb(38, 105, 134)"
"Tetra Blue Met.";"mp22007";"#647EB9";"rgb(100, 126, 185)"
"Trillium Blue Met.";"mp22025";"#6F4BA9";"rgb(111, 75, 169)"
"Ultra Blue Met.";"mp22006";"#43518F";"rgb(67, 81, 143)"
"Violetta Frost Met.";"mp22083";"#C7B8C4";"rgb(199, 184, 196)"
"Violette Blue Met.";"mp25353";"#C3B4C2";"rgb(195, 180, 194)"
"Alhambra Mosaic Blue";"mp11430";"#464E8C";"rgb(70, 78, 140)"
"Alpine Sky Blue";"mp357";"#8CC0D5";"rgb(140, 192, 213)"
"Ameritech Blue";"mp2171";"#283E77";"rgb(40, 62, 119)"
"Amsterdam Blue";"mp959";"#5B6E89";"rgb(91, 110, 137)"
"Amulet Blue";"mp2643";"#5B6890";"rgb(91, 104, 144)"
"Anas Teal";"mp12026";"#006081";"rgb(0, 96, 129)"
"Anil Blue";"mp4526";"#1D1A44";"rgb(29, 26, 68)"
"Antwerp Blue";"mp3362";"#6B6A74";"rgb(107, 106, 116)"
"Aquagris";"mp3559";"#6B898C";"rgb(107, 137, 140)"
"Aquarious Blue";"mp1063";"#0084B6";"rgb(0, 132, 182)"
"Aquavert";"mp2370";"#006D95";"rgb(0, 109, 149)"
"Arles In Blue";"mp6163";"#4D6C7F";"rgb(77, 108, 127)"
"Asgard Wall";"mp5480";"#6C6A7C";"rgb(108, 106, 124)"
"Auckland Azure";"mp8975";"#7CBAC9";"rgb(124, 186, 201)"
"Azulado";"mp906";"#1E1A42";"rgb(30, 26, 66)"
"Azureno";"mp3427";"#96A5D8";"rgb(150, 165, 216)"
"Azurine";"mp970";"#D5D2E7";"rgb(213, 210, 231)"
"Baby Boy Blue";"mp344";"#A3BBDB";"rgb(163, 187, 219)"
"Babylon Blue";"mp5037";"#5B4D65";"rgb(91, 77, 101)"
"Baffin Blue";"mp8972";"#AECFD4";"rgb(174, 207, 212)"
"Balinese Atoll";"mp946";"#00709B";"rgb(0, 112, 155)"
"Bambino Blue";"mp7797";"#A5BFD2";"rgb(165, 191, 210)"
"Bayville Blue";"mp7965";"#7FACB0";"rgb(127, 172, 176)"
"Beale Street Blues";"mp13702";"#303759";"rgb(48, 55, 89)"
"Beethoven Blue";"mp2356";"#7385A1";"rgb(115, 133, 161)"
"Belize Blue";"mp359";"#27588B";"rgb(39, 88, 139)"
"Bering Straits Sky";"mp955";"#C6CFD8";"rgb(198, 207, 216)"
"Berries";"mp5783";"#A8C3C9";"rgb(168, 195, 201)"
"Blue Abyss";"mp2103";"#1D1A44";"rgb(29, 26, 68)"
"Blue And Grey";"mp4510";"#797B89";"rgb(121, 123, 137)"
"Blue Bangle";"mp14188";"#2E4672";"rgb(46, 70, 114)"
"Blue Bike";"mp11976";"#272362";"rgb(39, 35, 98)"
"Blue Bottom";"mp4105";"#004F6F";"rgb(0, 79, 111)"
"Blue Brigantine";"mp4518";"#41576B";"rgb(65, 87, 107)"
"Blue Chic";"mp5878";"#C0CCD5";"rgb(192, 204, 213)"
"Blue Collar";"mp9460";"#455C84";"rgb(69, 92, 132)"
"Blue Dandy";"mp4348";"#356B92";"rgb(53, 107, 146)"
"Blue Eyed Mary";"mp7292";"#7E7E90";"rgb(126, 126, 144)"
"Blue Fang";"mp3341";"#93939B";"rgb(147, 147, 155)"
"Blue Flag";"mp1992";"#446B91";"rgb(68, 107, 145)"
"Blue Frit";"mp11988";"#5F6585";"rgb(95, 101, 133)"
"Blue Funk";"mp2098";"#374F75";"rgb(55, 79, 117)"
"Blue Glass";"mp340";"#2C0060";"rgb(44, 0, 96)"
"Blue Hawaii";"mp13728";"#00618F";"rgb(0, 97, 143)"
"Blue Lead";"mp6059";"#5E6881";"rgb(94, 104, 129)"
"Blue Lightening";"mp2625";"#4875A2";"rgb(72, 117, 162)"
"Blue Nose";"mp7455";"#7993B3";"rgb(121, 147, 179)"
"Blue On Violet";"mp9130";"#37327D";"rgb(55, 50, 125)"
"Blue Period";"mp4520";"#4F6F8B";"rgb(79, 111, 139)"
"Blue Polo";"mp14112";"#37324E";"rgb(55, 50, 78)"
"Blue Ribbon";"mp5080";"#140043";"rgb(20, 0, 67)"
"Blue Specter";"mp6984";"#98BFC9";"rgb(152, 191, 201)"
"Blue Truth";"mp5488";"#4C7286";"rgb(76, 114, 134)"
"Blue Valley";"mp8065";"#667490";"rgb(102, 116, 144)"
"Blue Veil";"mp7922";"#EBEDE5";"rgb(235, 237, 229)"
"Blue Wonder";"mp9971";"#3A415B";"rgb(58, 65, 91)"
"Blues News";"mp5040";"#00668D";"rgb(0, 102, 141)"
"Blurple Haze";"mp721";"#938F9E";"rgb(147, 143, 158)"
"Bobby Blue";"mp1816";"#73C2CF";"rgb(115, 194, 207)"
"Brewster Blue";"mp6785";"#BEBDD3";"rgb(190, 189, 211)"
"Brezo Blue";"mp2844";"#6C6290";"rgb(108, 98, 144)"
"Brindisi Blue";"mp4832";"#37547E";"rgb(55, 84, 126)"
"Brittany Blue";"mp2641";"#2E6972";"rgb(46, 105, 114)"
"Bushmans Bluey";"mp9963";"#38728A";"rgb(56, 114, 138)"
"Calm Blue";"mp894";"#BAC3EB";"rgb(186, 195, 235)"
"Camille Blue";"mp2896";"#50A5C9";"rgb(80, 165, 201)"
"Candy Blue";"mp4435";"#626389";"rgb(98, 99, 137)"
"Captain Blue";"mp5149";"#507189";"rgb(80, 113, 137)"
"Castaway Blue";"mp6783";"#74AEC7";"rgb(116, 174, 199)"
"Celeste";"mp6855";"#DDF4F5";"rgb(221, 244, 245)"
"Cerulean";"mp7837";"#AED6D8";"rgb(174, 214, 216)"
"Ceylon Sapphire";"mp8426";"#25467C";"rgb(37, 70, 124)"
"Ciel Bleu";"mp4721";"#49A1BC";"rgb(73, 161, 188)"
"Cloister";"mp11713";"#005A78";"rgb(0, 90, 120)"
"Coal Blue";"mp11611";"#5A6D87";"rgb(90, 109, 135)"
"Commelina Blue";"mp67";"#B7D4D8";"rgb(183, 212, 216)"
"Cook Islands Blue";"mp2110";"#2D3D6F";"rgb(45, 61, 111)"
"Copenhagen";"mp2514";"#56A3B4";"rgb(86, 163, 180)"
"Copenhagen Blue";"mp958";"#87A1B3";"rgb(135, 161, 179)"
"Cornwall Blue";"mp965";"#7084A9";"rgb(112, 132, 169)"
"Countrified Blue";"mp2965";"#9ABED0";"rgb(154, 190, 208)"
"Cruiseliner Blue";"mp8072";"#1E0D4F";"rgb(30, 13, 79)"
"Cuernavaca Blue";"mp2169";"#1E185C";"rgb(30, 24, 92)"
