"Color Name";"Color Number";"Hex";"RGB"
"Black Blue";"788";"#151E29";"rgb(21, 30, 41)"
"Blue Green";"796";"#8EDBDA";"rgb(142, 219, 218)"
"Mint";"729";"#74D6BC";"rgb(116, 214, 188)"
"Teal";"742";"#00A59A";"rgb(0, 165, 154)"
"Dark Teal";"786";"#00A698";"rgb(0, 166, 152)"
"Turquoise";"731";"#009193";"rgb(0, 145, 147)"
"Turquoise Blue";"797";"#008C8A";"rgb(0, 140, 138)"
"Petrol";"798";"#00636E";"rgb(0, 99, 110)"
"Turquoise Green";"734-01";"#006F4E";"rgb(0, 111, 78)"
"Forest Green";"711";"#00552E";"rgb(0, 85, 46)"
"Dark Green";"711-01";"#004F30";"rgb(0, 79, 48)"
"Olive Green";"757";"#125617";"rgb(18, 86, 23)"
"Foliage Green";"766";"#1D561E";"rgb(29, 86, 30)"
"Emerald";"781";"#00642C";"rgb(0, 100, 44)"
"Kelly Green";"734";"#007440";"rgb(0, 116, 64)"
"Green";"756";"#008441";"rgb(0, 132, 65)"
"Cactus Green";"712";"#009054";"rgb(0, 144, 84)"
"Bright Green";"755-01";"#009437";"rgb(0, 148, 55)"
"Light Green";"755";"#009035";"rgb(0, 144, 53)"
"Grass Green";"713";"#37A207";"rgb(55, 162, 7)"
"Lime Tree Green";"714-01";"#72C235";"rgb(114, 194, 53)"
"Lime";"714";"#80CC3C";"rgb(128, 204, 60)"
"White";"700";"#F1F2F6";"rgb(241, 242, 246)"
"White Matt";"730";"#F4F4F6";"rgb(244, 244, 246)"
"Mist";"745";"#CBCBCB";"rgb(203, 203, 203)"
"Pale Grey";"745-01";"#CBCCC9";"rgb(203, 204, 201)"
"Dove Grey";"744";"#989A94";"rgb(152, 154, 148)"
"Medium Grey";"725";"#818A90";"rgb(129, 138, 144)"
"Tele Grey";"744-01";"#909292";"rgb(144, 146, 146)"
"Grey";"720";"#5F6567";"rgb(95, 101, 103)"
"Stone Grey";"720-01";"#6C6E68";"rgb(108, 110, 104)"
"Dark Grey";"759";"#4C4E4E";"rgb(76, 78, 78)"
"Komatsu Grey";"759-01";"#323434";"rgb(50, 52, 52)"
"Black";"701";"#101114";"rgb(16, 17, 20)"
"Black Matt";"721";"#2B2B2C";"rgb(43, 43, 44)"
"Grey Metallic";"746";"#464646";"rgb(70, 70, 70)"
