"Color Name";"Color Number";"Hex";"RGB"
"Winter Haven";"1042-2";"#E1E6EB";"rgb(225, 230, 235)"
"Ocean Dream";"1042-3";"#D4DDE2";"rgb(212, 221, 226)"
"Blue Beard";"1042-4";"#ABB5C4";"rgb(171, 181, 196)"
"Prophetic Sea";"1042-5";"#818B9C";"rgb(129, 139, 156)"
"Blue Zephyr";"1042-6";"#5B6676";"rgb(91, 102, 118)"
"Admiralty";"1042-7";"#404E61";"rgb(64, 78, 97)"
"Snowbank";"1043-1";"#E8E9E9";"rgb(232, 233, 233)"
"Moondance";"1043-2";"#E1E1E2";"rgb(225, 225, 226)"
"Wayward Winds";"1043-3";"#DEDFE2";"rgb(222, 223, 226)"
"Glistening Gray";"1043-4";"#B1B3BE";"rgb(177, 179, 190)"
"Flannel Pajamas";"1043-5";"#8B8D98";"rgb(139, 141, 152)"
"Alley Cat";"1043-6";"#656874";"rgb(101, 104, 116)"
"Black Flame";"1043-7";"#484B5A";"rgb(72, 75, 90)"
"Love Bird";"1044-1";"#F1EBEA";"rgb(241, 235, 234)"
"Mauve Wisp";"1044-2";"#EADDE1";"rgb(234, 221, 225)"
"Tinted Rosewood";"1044-3";"#E1C8D1";"rgb(225, 200, 209)"
"Mauvelous";"1044-4";"#D6B3C0";"rgb(214, 179, 192)"
"Winsome Rose";"1044-5";"#C28BA1";"rgb(194, 139, 161)"
"Wild Strawberry";"1044-6";"#A5647E";"rgb(165, 100, 126)"
"Wild Plum";"1044-7";"#83455D";"rgb(131, 69, 93)"
"Magical Moonlight";"1045-1";"#F0EEEB";"rgb(240, 238, 235)"
"Barely Rose";"1045-2";"#EDE0E3";"rgb(237, 224, 227)"
"Santolina Blooms";"1045-3";"#E3D0D5";"rgb(227, 208, 213)"
"Pink Potion";"1045-4";"#CEAEBB";"rgb(206, 174, 187)"
"Keepsake Rose";"1045-5";"#B08693";"rgb(176, 134, 147)"
"Wild Geranium";"1045-6";"#986A79";"rgb(152, 106, 121)"
"Chilled Wine";"1045-7";"#6D4052";"rgb(109, 64, 82)"
"Milk And Cookies";"1046-1";"#E9E1DF";"rgb(233, 225, 223)"
"Magic Moments";"1046-2";"#E9DBE0";"rgb(233, 219, 224)"
"Old Mission Pink";"1046-3";"#D8C2CA";"rgb(216, 194, 202)"
"High Society";"1046-4";"#CAB7C0";"rgb(202, 183, 192)"
"Gothic Amethyst";"1046-5";"#A38B93";"rgb(163, 139, 147)"
"Velvet Slipper";"1046-6";"#846C76";"rgb(132, 108, 118)"
"Purple Basil";"1046-7";"#5C4450";"rgb(92, 68, 80)"
"Forever Faithful";"1047-1";"#EFE6E1";"rgb(239, 230, 225)"
