"Color Name";"Color Number";"Hex";"RGB"
"Golden Treasure";"3004-1A";"#FCC13D";"rgb(252, 193, 61)"
"Sunday Brunch";"3005-3B";"#ECC455";"rgb(236, 196, 85)"
"24 Karats";"3008-6A";"#DFC686";"rgb(223, 198, 134)"
"Fall Meadow";"3007-3B";"#E1C861";"rgb(225, 200, 97)"
"Golden Flame";"3002-1A";"#FFB41C";"rgb(255, 180, 28)"
"Golden Moon";"3004-3B";"#F5B651";"rgb(245, 182, 81)"
"Veranda Yellow";"3005-6A";"#E4C18B";"rgb(228, 193, 139)"
"Buttered Toffee";"3005-3A";"#EFBB3B";"rgb(239, 187, 59)"
"Harpswell Green";"3007-5C";"#DDBF85";"rgb(221, 191, 133)"
"Mustard Glaze";"3006-3A";"#E4BB53";"rgb(228, 187, 83)"
"Heraldic Gold";"3010-3";"#E2BA4E";"rgb(226, 186, 78)"
"Golden Meadow";"3008-3B";"#E4C24F";"rgb(228, 194, 79)"
"Swiftly Green";"3008-5C";"#DDC47B";"rgb(221, 196, 123)"
"Crushed Cumin";"6008-6A";"#D8C478";"rgb(216, 196, 120)"
"Lewis Gold";"3005-7C";"#CBA56B";"rgb(203, 165, 107)"
"Afternoon Stroll";"3004-5C";"#DFB674";"rgb(223, 182, 116)"
"Earthen Sienna";"3007-5B";"#C9A768";"rgb(201, 167, 104)"
"Butterscotch Lollipop";"3011-3";"#E3B964";"rgb(227, 185, 100)"
"Roman Ornament";"3009-3";"#D3A746";"rgb(211, 167, 70)"
"Golden Avocado";"3008-5A";"#C7A44B";"rgb(199, 164, 75)"
"Almond Puff";"3008-3A";"#CEAB3B";"rgb(206, 171, 59)"
"Dylan Velvet";"3008-5B";"#D0B469";"rgb(208, 180, 105)"
"Spring Moss";"3007-3A";"#D8BC4B";"rgb(216, 188, 75)"
"City Chartreuse";"6008-6C";"#B7A756";"rgb(183, 167, 86)"
"Antelope Hide";"3005-7B";"#C3A069";"rgb(195, 160, 105)"
"Corduroy";"3007-5A";"#B28E4B";"rgb(178, 142, 75)"
"Bamboo Leaves";"3009-4";"#BC9F60";"rgb(188, 159, 96)"
"Swampwater";"3008-7B";"#B3A36A";"rgb(179, 163, 106)"
"Wild Daisy";"3007-4A";"#F3E298";"rgb(243, 226, 152)"
"Chickery Chick";"3008-2A";"#FBE998";"rgb(251, 233, 152)"
"Pineapple Cream";"3008-4A";"#F8E9AA";"rgb(248, 233, 170)"
"Daisy Spell";"3007-4B";"#F6EAB3";"rgb(246, 234, 179)"
"Summer Sun";"3007-2B";"#FAEEB5";"rgb(250, 238, 181)"
"New Willow";"6007-9B";"#F0EBAC";"rgb(240, 235, 172)"
"Lime Mousse";"6008-9B";"#E2E48F";"rgb(226, 228, 143)"
"Fluorescent Lime";"6007-9C";"#DEE28C";"rgb(222, 226, 140)"
"Fresh Pear";"6007-7C";"#D6E293";"rgb(214, 226, 147)"
"Spring Lawn";"6006-9C";"#D0E4A5";"rgb(208, 228, 165)"
"Desert Hotsprings";"6008-5C";"#E4D799";"rgb(228, 215, 153)"
"Tangy Dill";"6008-10A";"#D8D556";"rgb(216, 213, 86)"
"Citrus Tickle";"6008-9C";"#DAD969";"rgb(218, 217, 105)"
"Green Tea";"6008-8A";"#CDD170";"rgb(205, 209, 112)"
"Celery";"6007-10A";"#D8DE7E";"rgb(216, 222, 126)"
"Garden Fresh";"6008-7C";"#D8DF80";"rgb(216, 223, 128)"
"Sonic Lime";"6007-8A";"#C0D56E";"rgb(192, 213, 110)"
"Afternoon Delight";"6006-10A";"#BDDB8C";"rgb(189, 219, 140)"
"Lush Meadow";"6005-9C";"#B7DC98";"rgb(183, 220, 152)"
"Au Naturale";"6003-7C";"#A9DBA3";"rgb(169, 219, 163)"
"Olive Marinade";"6007-5C";"#CBC58D";"rgb(203, 197, 141)"
"Lavish Lime";"6008-10B";"#D4CF3E";"rgb(212, 207, 62)"
"Lime Burst";"6007-10B";"#C6D15E";"rgb(198, 209, 94)"
"Temptation";"6007-8B";"#B2CD62";"rgb(178, 205, 98)"
"Greenhouse Tint";"6002-5C";"#BACB8D";"rgb(186, 203, 141)"
"Spring Meadow";"6006-7C";"#BBD38E";"rgb(187, 211, 142)"
"Crocodile Smile";"6005-7C";"#B4CE93";"rgb(180, 206, 147)"
"Greenscape";"6005-10A";"#A8D485";"rgb(168, 212, 133)"
"Gentle Landscape";"6004-7C";"#A7D093";"rgb(167, 208, 147)"
"Garden Sprout";"6004-9C";"#96D49D";"rgb(150, 212, 157)"
"Greek Tapenade";"6008-6B";"#CDBC6B";"rgb(205, 188, 107)"
"Lime Passion";"6008-10C";"#C5C225";"rgb(197, 194, 37)"
"Herb Cornucopia";"6005-5C";"#C3C18B";"rgb(195, 193, 139)"
"Parsley Sprig";"6008-8B";"#C2C54B";"rgb(194, 197, 75)"
"Limolicious";"6007-10C";"#A9C342";"rgb(169, 195, 66)"
"Everglade Glen";"6003-6A";"#B9C585";"rgb(185, 197, 133)"
"Parakeet Green";"6010-10";"#A7C443";"rgb(167, 196, 67)"
"Martian";"6007-8C";"#A7C646";"rgb(167, 198, 70)"
"Spring Lime";"6006-10B";"#A1CB67";"rgb(161, 203, 103)"
"Superior Green";"6003-8A";"#90C881";"rgb(144, 200, 129)"
"New Avocado";"6007-6A";"#B8B067";"rgb(184, 176, 103)"
"Can't Miss Lime";"6011-10";"#BEBD3B";"rgb(190, 189, 59)"
"Asparagus";"6008-8C";"#AEB83A";"rgb(174, 184, 58)"
"Brush Meadow";"6004-6A";"#A9B37D";"rgb(169, 179, 125)"
"Green Gecko";"6006-8A";"#A7C06A";"rgb(167, 192, 106)"
"Sunny Dale";"6002-6A";"#A5BB78";"rgb(165, 187, 120)"
"Pea Pod";"6005-8A";"#9DC37A";"rgb(157, 195, 122)"
"Jaunty Green";"6005-10B";"#8AC56C";"rgb(138, 197, 108)"
"Tossed Salad";"6002-8A";"#86BF8C";"rgb(134, 191, 140)"
"Green Shimmer";"6004-10A";"#7BC586";"rgb(123, 197, 134)"
"Gilded Pesto";"6007-6B";"#B1A859";"rgb(177, 168, 89)"
"Jalapeno Jelly";"6005-6A";"#B0AD70";"rgb(176, 173, 112)"
"Fiddlehead Fern";"6003-6B";"#A3B272";"rgb(163, 178, 114)"
"Mardi Gras Green";"6002-6B";"#93AB64";"rgb(147, 171, 100)"
"Chopped Chive";"6006-8B";"#96B55C";"rgb(150, 181, 92)"
"Awakening";"6006-10C";"#85BC50";"rgb(133, 188, 80)"
"Peaceful Leaf";"6004-8A";"#8CB96F";"rgb(140, 185, 111)"
"Lucky Clover";"6005-8B";"#87B66B";"rgb(135, 182, 107)"
"Gamma Green";"6003-8B";"#71B96A";"rgb(113, 185, 106)"
"Green Galore";"6004-10B";"#67B771";"rgb(103, 183, 113)"
"Crushed Oregano";"6007-6C";"#9D9950";"rgb(157, 153, 80)"
"Organic Garden";"6005-6B";"#9F9E61";"rgb(159, 158, 97)"
"Sassy Green";"6009-10";"#93AB3E";"rgb(147, 171, 62)"
"Emerald Isle";"6004-6B";"#9AA56D";"rgb(154, 165, 109)"
"Meadow Twilight";"6006-8C";"#89A64C";"rgb(137, 166, 76)"
"Greenway";"6005-10C";"#69AE44";"rgb(105, 174, 68)"
"Putting Green";"6004-8B";"#75AA5C";"rgb(117, 170, 92)"
"Spring Leaves";"5008-6B";"#7FA576";"rgb(127, 165, 118)"
"Polly Green";"6003-8C";"#54A84F";"rgb(84, 168, 79)"
"Elf";"6002-8B";"#71B078";"rgb(113, 176, 120)"
"Shallow Valley";"6011-9";"#868E48";"rgb(134, 142, 72)"
"Ivy Pasture";"6004-6C";"#838C55";"rgb(131, 140, 85)"
"Palm Leaf";"6003-6C";"#7E8E4A";"rgb(126, 142, 74)"
"Mountain Botanical";"6010-9";"#7F9843";"rgb(127, 152, 67)"
"Tropical Foliage";"6002-6C";"#819C54";"rgb(129, 156, 84)"
"Leprechaun";"6005-8C";"#68A34A";"rgb(104, 163, 74)"
"Enchanted Forest";"6004-8C";"#609B4F";"rgb(96, 155, 79)"
"Bright Parrot";"6011-7";"#5A9E48";"rgb(90, 158, 72)"
"Simply Green";"6002-8C";"#549759";"rgb(84, 151, 89)"
"Spinach";"6004-10C";"#48A759";"rgb(72, 167, 89)"
"Lovely Green";"6009-9";"#658940";"rgb(101, 137, 64)"
"Field Time Green";"5008-6C";"#658B57";"rgb(101, 139, 87)"
"Lime Candy";"6011-8";"#61903F";"rgb(97, 144, 63)"
"French Olive";"6010-8";"#567244";"rgb(86, 114, 68)"
"Vegas Green";"6009-7";"#407148";"rgb(64, 113, 72)"
"Green Vibe";"6002-7B";"#B5E0BD";"rgb(181, 224, 189)"
"Green Gala";"6003-9C";"#86D2A9";"rgb(134, 210, 169)"
"Mino's Eye";"6003-9B";"#B1E4C9";"rgb(177, 228, 201)"
"Sea Treasure";"6002-9C";"#87D8BB";"rgb(135, 216, 187)"
"Simply Aqua";"5008-10A";"#6CD4BD";"rgb(108, 212, 189)"
"Fresh Mist";"5008-9C";"#9AE1D1";"rgb(154, 225, 209)"
"Mermaid's Song";"6001-9C";"#99E1D1";"rgb(153, 225, 209)"
"Sea Wave";"5006-9C";"#8CD9D4";"rgb(140, 217, 212)"
"Beach Sparkle";"5004-9C";"#8FD4DB";"rgb(143, 212, 219)"
"Infinity Pool";"5003-9C";"#9CD5E6";"rgb(156, 213, 230)"
"Fresh Meadow";"6002-7C";"#8ECA97";"rgb(142, 202, 151)"
"Kelp";"6001-8A";"#8FC2A7";"rgb(143, 194, 167)"
"Lavish Green";"6002-10A";"#73CDAE";"rgb(115, 205, 174)"
"Aqua Quartz";"6001-10A";"#6CD3BB";"rgb(108, 211, 187)"
"Nautical";"5007-9C";"#7ACDC6";"rgb(122, 205, 198)"
"Playful Pool";"5005-7C";"#8AC9CF";"rgb(138, 201, 207)"
"Fiesta Blue";"5003-10A";"#7BC5D9";"rgb(123, 197, 217)"
"Summer Splash";"5002-9C";"#88C9E6";"rgb(136, 201, 230)"
"Billow";"4008-9C";"#87C5E6";"rgb(135, 197, 230)"
"Slumber";"4007-9C";"#98C8EA";"rgb(152, 200, 234)"
"Spearmint Burst";"6003-10A";"#67C294";"rgb(103, 194, 148)"
"New Meadow";"6002-10B";"#4EC19D";"rgb(78, 193, 157)"
"Seafarer";"5007-10A";"#62C1B6";"rgb(98, 193, 182)"
"Bayside";"5006-10A";"#5FC8C0";"rgb(95, 200, 192)"
"Swim";"5006-8A";"#75BBBA";"rgb(117, 187, 186)"
"Aqua Ocean";"5005-10A";"#6FC5C5";"rgb(111, 197, 197)"
"Rapids";"5004-10A";"#67C4CB";"rgb(103, 196, 203)"
"Well Water";"5005-8A";"#6EB7BE";"rgb(110, 183, 190)"
"Water Fountain";"5001-10A";"#7FBCD7";"rgb(127, 188, 215)"
"Sea Frolic";"4008-10A";"#6DB9E3";"rgb(109, 185, 227)"
