"Color Name";"Color Number";"Hex";"RGB"
"Chukker Brown";"MP12860";"#B39A7E";"rgb(179, 154, 126)"
"Clay Ball";"MP11949";"#AA9784";"rgb(170, 151, 132)"
"Clay Beige";"MP12385";"#AB9784";"rgb(171, 151, 132)"
"Cocoa Crispy";"MP857";"#5D2E27";"rgb(93, 46, 39)"
"Craft Brown";"MP3181";"#9F7F69";"rgb(159, 127, 105)"
"Dark Horse";"MP11194";"#442929";"rgb(68, 41, 41)"
"Dark Roast";"MP12213";"#442929";"rgb(68, 41, 41)"
"Dopplebock";"MP3364";"#431906";"rgb(67, 25, 6)"
"Doric Brown";"MP4418";"#503434";"rgb(80, 52, 52)"
"Fudge Brownie";"MP6063";"#4F2414";"rgb(79, 36, 20)"
"Grey Gelding";"MP3337";"#9C7F59";"rgb(156, 127, 89)"
"Greytan";"MP11315";"#CFC4B1";"rgb(207, 196, 177)"
"James Brown";"MP13200";"#814830";"rgb(129, 72, 48)"
"Madrone";"MP5239";"#975B42";"rgb(151, 91, 66)"
"Mahogany Leather";"MP655";"#643624";"rgb(100, 54, 36)"
"Malva Mauve";"MP12994";"#774633";"rgb(119, 70, 51)"
"Mocha Latte";"MP9189";"#AF845A";"rgb(175, 132, 90)"
"Modena Mud";"MP607";"#8E614A";"rgb(142, 97, 74)"
"Nutella";"MP8137";"#6C3B1E";"rgb(108, 59, 30)"
"Obsidian";"MP4836";"#4C2F30";"rgb(76, 47, 48)"
"Orso Brown";"MP2804";"#563225";"rgb(86, 50, 37)"
"Plantation Brown";"MP2779";"#886251";"rgb(136, 98, 81)"
"Pumpernickle";"MP6179";"#7D6461";"rgb(125, 100, 97)"
"Raw Brown";"MP608";"#9F684B";"rgb(159, 104, 75)"
"Rich Brown";"MP10217";"#42190D";"rgb(66, 25, 13)"
"Ruddock Brown";"MP13262";"#877363";"rgb(135, 115, 99)"
"SIS Brown";"MP12184";"#612C16";"rgb(97, 44, 22)"
"Smoked Hickory";"MP6031";"#9D7A61";"rgb(157, 122, 97)"
"Spanish Moss";"MP3078";"#705B3E";"rgb(112, 91, 62)"
"Spiced Brown";"MP6645";"#6A3A28";"rgb(106, 58, 40)"
"Stonebark";"MP14148";"#806452";"rgb(128, 100, 82)"
"Tantara";"MP12567";"#C6AC87";"rgb(198, 172, 135)"
"Teddy Bear";"MP6952";"#A9815E";"rgb(169, 129, 94)"
"Terminal Tan";"MP4427";"#A57D62";"rgb(165, 125, 98)"
"Town Brown";"MP2949";"#B09168";"rgb(176, 145, 104)"
"Unbriel";"MP11721";"#774B26";"rgb(119, 75, 38)"
"Unicor Brown";"MP12718";"#6E5657";"rgb(110, 86, 87)"
"Valrhona Cocoa";"MP5132";"#6D4A3E";"rgb(109, 74, 62)"
"Yearling";"MP3265";"#AE906C";"rgb(174, 144, 108)"
"Alabaster Met.";"MP20086";"#B9B199";"rgb(185, 177, 153)"
"Alpha Bronze Met.";"MP20146";"#AC9C7C";"rgb(172, 156, 124)"
"Ancient Bronze Met.";"MP20308";"#766566";"rgb(118, 101, 102)"
"Anodized Aluminum Met.";"MP20140";"#A79F8E";"rgb(167, 159, 142)"
"Art Deco Bronze Met.";"MP20161";"#836D65";"rgb(131, 109, 101)"
"Auguste Bronze Met.";"MP20183";"#766566";"rgb(118, 101, 102)"
"Bank Bronze Met.";"MP20144";"#83746F";"rgb(131, 116, 111)"
"Bell Metal Bronze Met.";"MP20185";"#857069";"rgb(133, 112, 105)"
"Bronze Doro Met.";"MP36581";"#A19A88";"rgb(161, 154, 136)"
"Bronze Metal Met.";"MP20156";"#795B42";"rgb(121, 91, 66)"
"Bronzeglow Met.";"MP20084";"#AE9A8C";"rgb(174, 154, 140)"
"Castell Bronze Met.";"MP20157";"#63452F";"rgb(99, 69, 47)"
"Champagne Brut Met.";"MP20090";"#ABA18F";"rgb(171, 161, 143)"
"Charon Grey Met.";"MP56301";"#8F867D";"rgb(143, 134, 125)"
"Cingular Grey Met.";"MP28072";"#666362";"rgb(102, 99, 98)"
"Corinthian Bronze Met.";"MP20189";"#6C584F";"rgb(108, 88, 79)"
"Dark Bronze Met.";"MP20303";"#595553";"rgb(89, 85, 83)"
"Doric Bronze Met.";"MP20307";"#5A4D50";"rgb(90, 77, 80)"
"Duronodic 313 Met.";"MP20190";"#625150";"rgb(98, 81, 80)"
"Duronodic Bronze Met.";"MP20147";"#968674";"rgb(150, 134, 116)"
"Elston Brown Met.";"MP29237";"#B5A698";"rgb(181, 166, 152)"
"Equus Bronze Met.";"MP20181";"#6F595A";"rgb(111, 89, 90)"
