"Color Name";"Color Number";"Hex";"RGB"
"Rain Reflection";"RC190-01";"#B3C4D9";"rgb(179, 196, 217)"
"Just Chill";"RC150-01";"#6888AC";"rgb(104, 136, 172)"
"Stylish Blue";"RC160-02";"#5D7CA1";"rgb(93, 124, 161)"
"Atlas Blue";"RC110-02";"#3F5A82";"rgb(63, 90, 130)"
"Soothing Melody";"RC200-01";"#C4D5EA";"rgb(196, 213, 234)"
"First Dance";"RC200-02";"#ACC5E4";"rgb(172, 197, 228)"
"Navy Dress";"RH210";"#285489";"rgb(40, 84, 137)"
"Indigo";"RH220";"#314973";"rgb(49, 73, 115)"
"Atlantic Ocean";"RC130-01";"#6280A3";"rgb(98, 128, 163)"
"Heartbroken";"RC120-01";"#547494";"rgb(84, 116, 148)"
"Blue Depths";"RC150-02";"#496B8F";"rgb(73, 107, 143)"
"Authentic Navy";"RC120-02";"#475A75";"rgb(71, 90, 117)"
"Blue Ballad";"RC250-01";"#90ABC4";"rgb(144, 171, 196)"
"North Beach Blue";"RC140-01";"#70839A";"rgb(112, 131, 154)"
"Stormy Sea";"RC140-02";"#4C617B";"rgb(76, 97, 123)"
"Blue Uniform";"RC130-02";"#3B4F6F";"rgb(59, 79, 111)"
"Idyllic Blue";"RC240-01";"#C7D6E6";"rgb(199, 214, 230)"
"Windsurfer";"RC180-01";"#A5C0DA";"rgb(165, 192, 218)"
"Triumph Blue";"RC280-01";"#3F73A0";"rgb(63, 115, 160)"
"Thunder Night";"RC100-01";"#3A5578";"rgb(58, 85, 120)"
"Blues Scale";"RC240-02";"#B8CDE1";"rgb(184, 205, 225)"
"Blue Hydrangea";"RC180-02";"#87B0D7";"rgb(135, 176, 215)"
"Beyond The Sea";"RH200";"#346696";"rgb(52, 102, 150)"
"Luxurious Blue";"RC280-02";"#355F88";"rgb(53, 95, 136)"
"Elegant Lace";"RC220-02";"#D8E3EE";"rgb(216, 227, 238)"
"Washed Away";"RD180-02";"#91BAD6";"rgb(145, 186, 214)"
"Atlantic Sea";"RC290-01";"#487190";"rgb(72, 113, 144)"
"Fountain Pen";"RC100-02";"#354A67";"rgb(53, 74, 103)"
"Scandinavia";"RD180-01";"#B1CFE3";"rgb(177, 207, 227)"
"Florentine Blue";"RC260-01";"#83A9C4";"rgb(131, 169, 196)"
"Ripped Jeans";"RC250-02";"#507A98";"rgb(80, 122, 152)"
"Saxophone Solo";"RC290-02";"#3F556C";"rgb(63, 85, 108)"
"Soft Chambray";"RD170-01";"#A8C4D6";"rgb(168, 196, 214)"
"Blue Dust";"RC270-01";"#7D99AE";"rgb(125, 153, 174)"
"Breakwaters";"RC260-02";"#6086A2";"rgb(96, 134, 162)"
"Beach View";"RC270-02";"#4B748D";"rgb(75, 116, 141)"
"Airy Blue";"RC230-02";"#CFDEE8";"rgb(207, 222, 232)"
"Water Splash";"RD160-02";"#9AAEBD";"rgb(154, 174, 189)"
"Backwater";"RD130-01";"#7F98A8";"rgb(127, 152, 168)"
"Iron Medallion";"RD130-02";"#537181";"rgb(83, 113, 129)"
"Refreshing";"RD190-02";"#C9DEEB";"rgb(201, 222, 235)"
"Favorite Jeans";"RD170-02";"#88ACC1";"rgb(136, 172, 193)"
"Bubbling Brook";"RD110-01";"#3A81A1";"rgb(58, 129, 161)"
"Wind Surfing";"RD110-02";"#366C8E";"rgb(54, 108, 142)"
"Humid Weather";"RD190-01";"#D4E4EC";"rgb(212, 228, 236)"
"Quiet Blue";"RE160-02";"#A5C3D2";"rgb(165, 195, 210)"
"Seaside Retreat";"RD150-01";"#6F9CB5";"rgb(111, 156, 181)"
"Marine Bay";"RD100-01";"#477188";"rgb(71, 113, 136)"
"Summer Shower";"RE160-01";"#BAD3DC";"rgb(186, 211, 220)"
